inst#,actual,predicted,error,prediction
3,3:pop,3:pop,,0.985
4,2:mexicano,2:mexicano,,1
5,1:metal,4:rock,+,0.629
6,1:metal,4:rock,+,0.958
1,4:rock,3:pop,+,0.65
2,3:pop,3:pop,,0.998
3,3:pop,3:pop,,0.994
4,2:mexicano,2:mexicano,,0.509
5,1:metal,3:pop,+,0.72
6,1:metal,1:metal,,0.716
1,4:rock,4:rock,,0.681
2,3:pop,4:rock,+,0.851
3,3:pop,3:pop,,0.998
4,2:mexicano,2:mexicano,,0.997
5,1:metal,1:metal,,0.909
6,1:metal,1:metal,,0.975
1,4:rock,4:rock,,0.895
2,3:pop,3:pop,,0.958
3,3:pop,3:pop,,0.871
4,2:mexicano,4:rock,+,0.685
5,1:metal,1:metal,,0.977
6,1:metal,1:metal,,0.969
